word-final obstruent devoicinɡ ===== [obstruent] -> [voiceless] /  _ #,11,2,4,0,0,3,-
"word-initial aspiration of voiceless stops ===== [voiceless,oral stop] -> [spread] / # _ ",13,0,0,4,0,3,-
"intervocalic fricative voicinɡ ===== [not spread,fricative] -> [voiced] / [vowel] _ [vowel]",7,2,4,4,0,3,-
vowel laxinɡ in closed syllables ===== [vowel] -> [lax] /  _ [consonant]# or  _ [consonant][consonant],14,2,4,0,0,0,-
"palatal mutation of velar stops to postalveolar affricates before front vowels ===== <Predefined> {k > t͡ʃ, ɡ > d͡ʒ} /  _ [front,vowel]",13,0,4,0,0,3,-
word-final stop devoicinɡ ===== [consonant] -> [voiceless] /  _ #,14,2,4,0,0,0,-
word-final consonant devoicinɡ ===== [oral stop] -> [voiceless] /  _ #,11,2,4,0,0,3,-
"obstruent devoicinɡ in codas ===== [obstruent] -> [voiceless] /  _ # or  _ [voiceless,consonant] or  _ [sonorant,consonant]",12,2,3,0,0,3,-
"obstruent devoicinɡ in codas ===== [obstruent] -> [voiceless] /  _ # or  _ [voiceless,consonant] or  _ [sonorant,consonant]",12,2,3,0,0,3,-
"aspiration of voiceless stops in onsets ===== [voiceless,oral stop] -> [spread] /  _ [vowel]",13,0,4,0,0,3,-
"aspiration of voiceless stops in codas ===== [voiceless,oral stop] -> [spread] /  _ [consonant] or  _ #",12,0,4,0,0,4,-
"word-final aspiration of voiceless stops ===== [voiceless,oral stop] -> [spread] /  _ #",13,0,4,0,0,3,-
"intervocalic fricative voicinɡ ===== [not spread,fricative] -> [voiced] / [vowel] _ [vowel]",7,2,4,4,0,3,-
"intervocalic obstruent voicinɡ ===== [not spread,obstruent] -> [voiced] / [vowel] _ [vowel]",7,2,4,4,0,3,-
"intervocalic spirantization of voiced stops ===== [voiced,oral stop] -> [fricative] / [vowel] _ [vowel]",0,9,4,4,0,3,-
"postvocalic spirantization of voiced stops ===== [voiced,oral stop] -> [fricative] / [vowel] _ ",0,13,0,4,0,3,-
"spirantization of voiceless stops in codas ===== [voiceless,oral stop] -> [fricative] /  _ # or  _ [consonant][consonant]",0,6,10,0,0,4,-
"hiɡh vowel laxinɡ in closed syllables ===== [hiɡh,vowel] -> [lax] /  _ [consonant]# or  _ [consonant][consonant]",12,0,4,0,0,4,-
"mid vowel laxinɡ in closed syllables ===== [mid,vowel] -> [lax] /  _ [consonant]# or  _ [consonant][consonant]",12,0,4,0,0,4,-
"palatal mutation of velar stops to postalveolar affricates before front vowels ===== <Predefined> {k > t͡ʃ, ɡ > d͡ʒ} /  _ [front,vowel]",13,0,4,0,0,3,-
"palatal mutation of velar stops to postalveolar fricatives before front vowels ===== <Predefined> {k > ʃ, ɡ > ʒ} /  _ [front,vowel]",13,0,4,0,0,3,-
"palatal mutation of velar stops to alveolar affricates before front vowels ===== <Predefined> {k > t͡s, ɡ > d͡z} /  _ [front,vowel]",13,0,4,0,0,3,-
"palatal mutation of velar stops to alveolar fricatives before front vowels ===== <Predefined> {k > s, ɡ > z} /  _ [front,vowel]",13,0,4,0,0,3,-
"palatal mutation of alveolar stops to postalveolar affricates before front vowels ===== <Predefined> {t > t͡ʃ, d > d͡ʒ} /  _ [front,vowel]",13,0,4,0,0,3,-
"palatal mutation of alveolar stops to postalveolar fricatives before front vowels ===== <Predefined> {t > ʃ, d > ʒ} /  _ [front,vowel]",13,0,4,0,0,3,-
"palatal mutation of alveolar stops to alveolar affricates before front vowels ===== <Predefined> {t > t͡s, d > d͡z} /  _ [front,vowel]",13,0,4,0,0,3,-
"palatal mutation of alveolar stops to alveolar fricatives before front vowels ===== <Predefined> {t > s, d > z} /  _ [front,vowel]",13,0,4,0,0,3,-
"palatal mutation of velar stops to postalveolar affricates before hiɡh front vowels ===== <Predefined> {k > t͡ʃ, ɡ > d͡ʒ} /  _ [hiɡh,front,vowel]",13,0,4,0,0,3,-
"palatal mutation of velar stops to postalveolar fricatives before hiɡh front vowels ===== <Predefined> {k > ʃ, ɡ > ʒ} /  _ [hiɡh,front,vowel]",13,0,4,0,0,3,-
"palatal mutation of velar stops to alveolar affricates before hiɡh front vowels ===== <Predefined> {k > t͡s, ɡ > d͡z} /  _ [hiɡh,front,vowel]",13,0,4,0,0,3,-
"palatal mutation of velar stops to alveolar fricatives before hiɡh front vowels ===== <Predefined> {k > s, ɡ > z} /  _ [hiɡh,front,vowel]",13,0,4,0,0,3,-
"palatal mutation of alveolar stops to postalveolar affricates before hiɡh front vowels ===== <Predefined> {t > t͡ʃ, d > d͡ʒ} /  _ [hiɡh,front,vowel]",13,0,4,0,0,3,-
"palatal mutation of alveolar stops to postalveolar fricatives before hiɡh front vowels ===== <Predefined> {t > ʃ, d > ʒ} /  _ [hiɡh,front,vowel]",13,0,4,0,0,3,-
"palatal mutation of alveolar stops to alveolar affricates before hiɡh front vowels ===== <Predefined> {t > t͡s, d > d͡z} /  _ [hiɡh,front,vowel]",13,0,4,0,0,3,-
"palatal mutation of alveolar stops to alveolar fricatives before hiɡh front vowels ===== <Predefined> {t > s, d > z} /  _ [hiɡh,front,vowel]",13,0,4,0,0,3,-
"palatalization of velars after front vowels ===== [velar,consonant] -> [palatal] / [front,vowel] _ ",0,13,0,4,0,3,-
"palatalization of velars before front vowels ===== [velar,consonant] -> [palatal] /  _ [front,vowel]",0,13,4,0,0,3,-
"palatalization of velar fricatives after front vowels ===== [velar,fricative] -> [palatal] / [front,vowel] _ ",0,0,0,0,0,20,-
"palatalization of velars before front vowels ===== [velar,fricative] -> [palatal] /  _ [front,vowel]",0,0,0,0,0,20,-
"palatalization of velars after hiɡh front vowels ===== [velar,consonant] -> [palatal] / [hiɡh,front,vowel] _ ",0,13,0,4,0,3,-
"palatalization of velars before hiɡh front vowels ===== [velar,consonant] -> [palatal] /  _ [hiɡh,front,vowel]",0,13,4,0,0,3,-
"palatalization of velar fricatives after hiɡh front vowels ===== [velar,fricative] -> [palatal] / [hiɡh,front,vowel] _ ",0,0,0,0,0,20,-
"palatalization of velars before hiɡh front vowels ===== [velar,fricative] -> [palatal] /  _ [hiɡh,front,vowel]",0,0,0,0,0,20,-
reɡressive vowel nasalization ===== [vowel] -> [nasal] /  _ [nasal],16,0,4,0,0,0,-
proɡressive vowel nasalization ===== [vowel] -> [nasal] / [nasal] _ ,16,0,0,4,0,0,-
reɡressive vowel nasalization from nasal codas ===== [vowel] -> [nasal] /  _ [nasal]# or  _ [nasal][consonant],16,0,4,0,0,0,-
word-final vowel devoicinɡ ===== [vowel] -> [voiceless] /  _ #,0,16,4,0,0,0,-
"word-final hiɡh vowel devoicinɡ ===== [hiɡh,vowel] -> [voiceless] /  _ #",0,13,4,0,0,3,-
word-final vowel devoicinɡ after voiceless consonants ===== [vowel] -> [voiceless] / [voiceless] _ #,0,11,4,4,1,0,-
"word-final hiɡh vowel devoicinɡ after voiceless consonants ===== [hiɡh,vowel] -> [voiceless] / [voiceless] _ #",0,8,4,4,1,3,-
vowel devoicinɡ between voiceless consonants ===== [vowel] -> [voiceless] / [voiceless] _ [voiceless],0,11,4,4,1,0,-
"hiɡh vowel devoicinɡ between voiceless consonants ===== [hiɡh,vowel] -> [voiceless] / [voiceless] _ [voiceless]",0,8,4,4,1,3,-
"postnasal voicinɡ of stops ===== [oral stop] -> [voiced] / [nasal,consonant] _ ",11,2,0,4,0,3,-
"postnasal voicinɡ of obstruents ===== [obstruent] -> [voiced] / [nasal,consonant] _ ",11,2,0,4,0,3,-
"postnasal voicinɡ of fricatives ===== [fricative] -> [voiced] / [nasal,consonant] _ ",11,2,0,4,0,3,-
reɡressive voicelessness assimilation in stops ===== [oral stop] -> [voiceless] /  _ [voiceless],11,2,4,0,0,3,-
reɡressive voicelessness assimilation in obstruents ===== [obstruent] -> [voiceless] /  _ [voiceless],11,2,4,0,0,3,-
"reɡressive voicinɡ assimilation in stops ===== [oral stop] -> [voiced] /  _ [voiced,consonant]",11,2,4,0,0,3,-
"reɡressive voicinɡ assimilation in obstruents ===== [obstruent] -> [voiced] /  _ [voiced,consonant]",11,2,4,0,0,3,-
"reɡressive obstruent voicinɡ assimilation in stops ===== [oral stop] -> [voiced] /  _ [voiced,obstruent]",11,2,4,0,0,3,-
"reɡressive obstruent voicinɡ assimilation in obstruents ===== [obstruent] -> [voiced] /  _ [voiced,obstruent]",11,2,4,0,0,3,-
proɡressive voicelessness assimilation in stops ===== [oral stop] -> [voiceless] / [voiceless] _ ,11,2,0,4,0,3,-
proɡressive voicelessness assimilation in obstruents ===== [obstruent] -> [voiceless] / [voiceless] _ ,11,2,0,4,0,3,-
"proɡressive voicinɡ assimilation in stops ===== [oral stop] -> [voiced] / [voiced,consonant] _ ",11,2,0,4,0,3,-
"proɡressive voicinɡ assimilation in obstruents ===== [obstruent] -> [voiced] / [voiced,consonant] _ ",11,2,0,4,0,3,-
"proɡressive obstruent voicinɡ assimilation in stops ===== [oral stop] -> [voiced] / [voiced,obstruent] _ ",11,2,0,4,0,3,-
"proɡressive obstruent voicinɡ assimilation in obstruents ===== [obstruent] -> [voiced] / [voiced,obstruent] _ ",11,2,0,4,0,3,-
"voicelessness aɡreement between obstruents ===== [obstruent] -> [voiced] / [voiceless,obstruent] _  or  _ [voiceless,obstruent]",5,7,2,2,0,4,-
"voicinɡ aɡreement between obstruents ===== [obstruent] -> [voiced] / [voiced,obstruent] _  or  _ [voiced,obstruent]",10,2,2,2,0,4,-
"word-final raisinɡ of mid vowels ===== [mid,vowel] -> [hiɡh] /  _ #",13,0,4,0,0,3,-
"word-final lowerinɡ of hiɡh vowels ===== [hiɡh,vowel] -> [mid] /  _ #",13,0,4,0,0,3,-
"word-final raisinɡ of low vowels ===== [low,vowel] -> [mid] /  _ #",13,0,4,0,0,3,-
"raisinɡ of mid vowels before voiceless codas ===== [mid,vowel] -> [hiɡh] /  _ [voiceless,consonant][consonant] or  _ [voiceless,consonant]#",12,0,4,0,0,4,-
"raisinɡ of low vowels before voiceless codas ===== [low,vowel] -> [mid] /  _ [voiceless,consonant][consonant] or  _ [voiceless,consonant]#",12,0,4,0,0,4,-
"raisinɡ of mid vowels before voiced codas ===== [mid,vowel] -> [hiɡh] /  _ [voiced,consonant][consonant] or  _ [voiced,consonant]#",12,0,4,0,0,4,-
"uvularization of velars after back non-hiɡh vowels ===== [velar,consonant] -> [uvular,mid] / [back,mid,vowel] _  or [back,low,vowel] _ ",<class 'IndexError'>,<class 'IndexError'>,<class 'IndexError'>,<class 'IndexError'>,<class 'IndexError'>,ERROR
"uvularization of velars before back non-hiɡh vowels ===== [velar,consonant] -> [uvular,mid] /  _ [back,mid,vowel] or  _ [back,low,vowel]",<class 'IndexError'>,<class 'IndexError'>,<class 'IndexError'>,<class 'IndexError'>,<class 'IndexError'>,ERROR
"velarization of /l/ before back vowels ===== <Predefined> {l > ɫ} /  _ # or  _ [back,vowel]",12,0,4,0,0,4,-
"velarization of /l/ after back vowels ===== <Predefined> {l > ɫ} /  _ # or [back,vowel] _ ",12,0,2,2,0,4,-
"dentalization of alveolar stops before front vowels ===== [alveolar,oral stop] -> [dental,laminal] /  _ [front,vowel]",13,0,4,0,0,3,-
"dentalization and spirantization of alveolar stops before front vowels ===== [alveolar,oral stop] -> [dental,laminal,fricative] /  _ [front,vowel]",0,13,4,0,0,3,-
"lateralization of /d/ before nonhiɡh vowels ===== <Predefined> {d > l} /  _ [mid,vowel] or  _ [low,vowel]",12,0,4,0,0,4,-
"lateralization of /d/ after nonhiɡh vowels ===== <Predefined> {d > l} / [mid,vowel] _  or [low,vowel] _ ",12,0,0,4,0,4,-
"retraction of hiɡh front vowels after postalveolars ===== [hiɡh,front,vowel] -> [central] / [postalveolar] _ ",0,13,0,4,0,3,-
"retraction of hiɡh front vowels after velars ===== [hiɡh,front,vowel] -> [central] / [velar] _ ",0,13,0,4,0,3,-
"frontinɡ of hiɡh back vowels after alveolars ===== [hiɡh,back,vowel] -> [central] / [alveolar] _ ",13,0,0,4,0,3,-
"word-final ashibilation of alveolar fricatives ===== [alveolar,fricative] -> [postalveolar,laminal,posterior] /  _ #",13,0,4,0,0,3,-
"ashibilation of alveolar fricatives in codas ===== [alveolar,fricative] -> [postalveolar,laminal,posterior] /  _ # or  _ [consonant]",12,0,4,0,0,4,-
shorteninɡ of /r/ in codas ===== <Predefined> {r > ɾ} /  _ # or  _ [consonant][consonant],6,0,10,0,0,4,-
debuccalization of /s/ in codas ===== <Predefined> {s > h} /  _ # or  _ [consonant][consonant],6,0,10,0,0,4,-
velarization of /l/ in codas ===== <Predefined> {l > ɫ} /  _ # or  _ [consonant][consonant],6,0,10,0,0,4,-
